batch_size = 300
bias = True
clear_checkpoint = True
clip_grad = 0
cuda = 0
device = cuda:0
dtype = float64
lr = 0.0005
max_step = 1000
n_in = 68
n_out = 1
net_depth = 9
net_width = (100, 200, 200, 100, 100, 50, 21)
no_stdout = False
optimizer = adam
out_dir = out
out_filename = out/MLP_nd9_nw-100-200-200-100-100-50-21_bias/out
out_infix = 
print_step = 5
save_step = 10
seed = 86336781
tolerance = 1e-05

init_time = 0.000
Training...
step = 0, loss = 2.0668111, r2_train = 0.18453456, r2_test = 0.1853583, train_time = 15.337, used_time = 15.493
step = 5, loss = 1.2169639, r2_train = 0.15272573, r2_test = 0.15330758, train_time = 16.233, used_time = 96.872
step = 10, loss = 1.0156914, r2_train = 0.14429523, r2_test = 0.14511111, train_time = 14.722, used_time = 170.631
step = 15, loss = 0.92124275, r2_train = 0.15208726, r2_test = 0.15318485, train_time = 15.072, used_time = 246.172
step = 20, loss = 0.84444476, r2_train = 0.12154379, r2_test = 0.12269957, train_time = 14.088, used_time = 316.770
step = 25, loss = 0.80662628, r2_train = 0.13106044, r2_test = 0.13093242, train_time = 14.080, used_time = 387.356
step = 30, loss = 0.77234711, r2_train = 0.107496, r2_test = 0.10887684, train_time = 14.549, used_time = 460.249
step = 35, loss = 0.74490046, r2_train = 0.11309652, r2_test = 0.11361939, train_time = 14.338, used_time = 532.132
step = 40, loss = 0.72981077, r2_train = 0.11796361, r2_test = 0.11865444, train_time = 14.111, used_time = 602.911
step = 45, loss = 0.70030442, r2_train = 0.1114679, r2_test = 0.11238937, train_time = 14.062, used_time = 673.611
step = 50, loss = 0.69101215, r2_train = 0.10226022, r2_test = 0.10280256, train_time = 14.059, used_time = 744.067
step = 55, loss = 0.68257801, r2_train = 0.12094948, r2_test = 0.12197182, train_time = 14.052, used_time = 814.671
step = 60, loss = 0.66091011, r2_train = 0.11747398, r2_test = 0.11772558, train_time = 14.058, used_time = 885.121
step = 65, loss = 0.6522557, r2_train = 0.098901787, r2_test = 0.099622022, train_time = 14.052, used_time = 955.761
step = 70, loss = 0.64722354, r2_train = 0.11243011, r2_test = 0.11330134, train_time = 14.078, used_time = 1026.309
step = 75, loss = 0.62398531, r2_train = 0.11404118, r2_test = 0.11497838, train_time = 14.057, used_time = 1096.777
step = 80, loss = 0.59290268, r2_train = 0.10733791, r2_test = 0.10829915, train_time = 14.060, used_time = 1167.340
step = 85, loss = 0.58799217, r2_train = 0.10282942, r2_test = 0.10362411, train_time = 14.070, used_time = 1237.881
step = 90, loss = 0.57345177, r2_train = 0.11873058, r2_test = 0.11933142, train_time = 14.071, used_time = 1308.387
step = 95, loss = 0.57324272, r2_train = 0.09124499, r2_test = 0.091867508, train_time = 14.071, used_time = 1378.944
step = 100, loss = 0.57087026, r2_train = 0.10348322, r2_test = 0.10491601, train_time = 14.185, used_time = 1450.024
step = 105, loss = 0.54202557, r2_train = 0.092345656, r2_test = 0.092599451, train_time = 14.161, used_time = 1521.019
step = 110, loss = 0.51876865, r2_train = 0.089356131, r2_test = 0.090517111, train_time = 14.660, used_time = 1594.471
step = 115, loss = 0.5092665, r2_train = 0.097542412, r2_test = 0.097897137, train_time = 14.412, used_time = 1666.718
step = 120, loss = 0.48997711, r2_train = 0.086331652, r2_test = 0.087344395, train_time = 14.750, used_time = 1740.624
step = 125, loss = 0.49182575, r2_train = 0.11225528, r2_test = 0.11274581, train_time = 15.114, used_time = 1816.378
step = 130, loss = 0.46631151, r2_train = 0.090683037, r2_test = 0.090771025, train_time = 14.905, used_time = 1891.058
step = 135, loss = 0.4462835, r2_train = 0.081193465, r2_test = 0.082371031, train_time = 15.916, used_time = 1970.819
step = 140, loss = 0.44029901, r2_train = 0.081721056, r2_test = 0.082727943, train_time = 18.127, used_time = 2061.615
step = 145, loss = 0.41951169, r2_train = 0.074879812, r2_test = 0.075877966, train_time = 16.052, used_time = 2142.060
step = 150, loss = 0.41136557, r2_train = 0.075588455, r2_test = 0.076679446, train_time = 14.850, used_time = 2216.462
step = 155, loss = 0.39608106, r2_train = 0.073117917, r2_test = 0.074918454, train_time = 14.011, used_time = 2286.708
step = 160, loss = 0.38498045, r2_train = 0.070228432, r2_test = 0.071643279, train_time = 14.822, used_time = 2360.973
step = 165, loss = 0.37344299, r2_train = 0.069768536, r2_test = 0.071215434, train_time = 15.668, used_time = 2439.498
step = 170, loss = 0.3723585, r2_train = 0.078255057, r2_test = 0.079698975, train_time = 14.157, used_time = 2510.437
step = 175, loss = 0.36468516, r2_train = 0.059745091, r2_test = 0.061776907, train_time = 14.332, used_time = 2582.280
step = 180, loss = 0.3466936, r2_train = 0.058613417, r2_test = 0.060849759, train_time = 15.937, used_time = 2662.122
