batch_size = 300
bias = True
clear_checkpoint = True
clip_grad = 0
cuda = 1
device = cuda:0
dtype = float64
lr = 0.0005
max_step = 1000
n_in = 68
n_out = 1
net_depth = 9
net_width = (100, 200, 200, 100, 100, 50, 21)
no_stdout = False
optimizer = adam
out_dir = out
out_filename = out/MLP_nd9_nw-100-200-200-100-100-50-21_bias/outwithout5
out_infix = without5
print_step = 5
save_step = 10
seed = 3606873
tolerance = 1e-05

init_time = 0.000
Training...
step = 0, loss = 1.9882718, r2_train = 0.18109467, r2_test = 0.1808993, train_time = 14.681, used_time = 14.838
step = 5, loss = 1.1609537, r2_train = 0.15203521, r2_test = 0.15165104, train_time = 15.676, used_time = 93.400
step = 10, loss = 0.99695316, r2_train = 0.14955368, r2_test = 0.14930282, train_time = 14.619, used_time = 166.654
step = 15, loss = 0.87811056, r2_train = 0.131108, r2_test = 0.13107238, train_time = 15.841, used_time = 246.049
step = 20, loss = 0.81881501, r2_train = 0.12860349, r2_test = 0.12827032, train_time = 16.872, used_time = 330.559
step = 25, loss = 0.78610913, r2_train = 0.13915945, r2_test = 0.13911307, train_time = 14.611, used_time = 403.803
step = 30, loss = 0.75175851, r2_train = 0.14141264, r2_test = 0.14128919, train_time = 16.282, used_time = 485.376
step = 35, loss = 0.72959661, r2_train = 0.14373768, r2_test = 0.14361796, train_time = 15.535, used_time = 563.240
step = 40, loss = 0.7108074, r2_train = 0.13774266, r2_test = 0.13812251, train_time = 16.879, used_time = 647.795
step = 45, loss = 0.69625585, r2_train = 0.11241408, r2_test = 0.11250056, train_time = 14.933, used_time = 722.647
step = 50, loss = 0.67361315, r2_train = 0.11051822, r2_test = 0.11104829, train_time = 14.656, used_time = 796.085
step = 55, loss = 0.65479727, r2_train = 0.10500246, r2_test = 0.10526906, train_time = 14.537, used_time = 868.954
step = 60, loss = 0.64945155, r2_train = 0.10002295, r2_test = 0.10081821, train_time = 16.008, used_time = 949.207
step = 65, loss = 0.64061764, r2_train = 0.11943935, r2_test = 0.12002631, train_time = 17.116, used_time = 1034.973
step = 70, loss = 0.62457293, r2_train = 0.11518374, r2_test = 0.11588831, train_time = 14.579, used_time = 1108.051
step = 75, loss = 0.62209427, r2_train = 0.10546635, r2_test = 0.10572516, train_time = 16.088, used_time = 1188.675
step = 80, loss = 0.61032318, r2_train = 0.10380401, r2_test = 0.1044891, train_time = 15.970, used_time = 1268.685
step = 85, loss = 0.61840835, r2_train = 0.12769513, r2_test = 0.12801529, train_time = 15.447, used_time = 1346.241
step = 90, loss = 0.59412827, r2_train = 0.10730633, r2_test = 0.10794555, train_time = 14.986, used_time = 1421.325
step = 95, loss = 0.60554014, r2_train = 0.10082845, r2_test = 0.10092201, train_time = 14.574, used_time = 1494.507
step = 100, loss = 0.58274738, r2_train = 0.099812612, r2_test = 0.10057029, train_time = 16.400, used_time = 1576.666
step = 105, loss = 0.58710157, r2_train = 0.11334045, r2_test = 0.11417846, train_time = 15.328, used_time = 1653.680
step = 110, loss = 0.57295715, r2_train = 0.12900778, r2_test = 0.12978607, train_time = 14.780, used_time = 1727.764
step = 115, loss = 0.56130701, r2_train = 0.12420756, r2_test = 0.12479863, train_time = 15.605, used_time = 1806.574
step = 120, loss = 0.55319207, r2_train = 0.120302, r2_test = 0.12115205, train_time = 14.878, used_time = 1881.121
step = 125, loss = 0.55243248, r2_train = 0.10656546, r2_test = 0.10778936, train_time = 15.452, used_time = 1958.567
step = 130, loss = 0.54734899, r2_train = 0.10330816, r2_test = 0.10419877, train_time = 18.008, used_time = 2048.779
step = 135, loss = 0.53118602, r2_train = 0.10553697, r2_test = 0.10683437, train_time = 17.771, used_time = 2137.826
step = 140, loss = 0.51874959, r2_train = 0.10494447, r2_test = 0.10545992, train_time = 15.583, used_time = 2215.901
step = 145, loss = 0.52691432, r2_train = 0.1029882, r2_test = 0.10415311, train_time = 15.017, used_time = 2291.409
step = 150, loss = 0.51407739, r2_train = 0.091816038, r2_test = 0.092776989, train_time = 15.391, used_time = 2368.676
step = 155, loss = 0.5078023, r2_train = 0.13023573, r2_test = 0.13073594, train_time = 15.986, used_time = 2448.787
step = 160, loss = 0.50931122, r2_train = 0.11486945, r2_test = 0.11547441, train_time = 16.582, used_time = 2531.846
step = 165, loss = 0.49567104, r2_train = 0.091440501, r2_test = 0.092244793, train_time = 14.862, used_time = 2606.339
step = 170, loss = 0.4863114, r2_train = 0.095633469, r2_test = 0.097073734, train_time = 14.857, used_time = 2680.783
step = 175, loss = 0.47263365, r2_train = 0.084746318, r2_test = 0.086193581, train_time = 15.233, used_time = 2757.127
step = 180, loss = 0.48335941, r2_train = 0.082293737, r2_test = 0.083208132, train_time = 16.167, used_time = 2838.119
step = 185, loss = 0.46378429, r2_train = 0.089757437, r2_test = 0.090554623, train_time = 18.020, used_time = 2928.400
step = 190, loss = 0.45952519, r2_train = 0.08075774, r2_test = 0.082325177, train_time = 15.026, used_time = 3003.690
step = 195, loss = 0.45105924, r2_train = 0.078254043, r2_test = 0.079236871, train_time = 16.111, used_time = 3084.430
step = 200, loss = 0.44804721, r2_train = 0.089235074, r2_test = 0.090217873, train_time = 16.582, used_time = 3167.494
step = 205, loss = 0.43593814, r2_train = 0.097530558, r2_test = 0.098240953, train_time = 15.213, used_time = 3243.740
step = 210, loss = 0.43102473, r2_train = 0.076140747, r2_test = 0.07699918, train_time = 14.416, used_time = 3315.980
step = 215, loss = 0.42370925, r2_train = 0.093856049, r2_test = 0.094386289, train_time = 14.530, used_time = 3388.813
step = 220, loss = 0.41533177, r2_train = 0.079290473, r2_test = 0.080315453, train_time = 15.229, used_time = 3465.115
step = 225, loss = 0.41951774, r2_train = 0.083385537, r2_test = 0.084985007, train_time = 15.738, used_time = 3543.993
step = 230, loss = 0.41993411, r2_train = 0.1101682, r2_test = 0.11062702, train_time = 15.100, used_time = 3619.654
step = 235, loss = 0.4044823, r2_train = 0.076348192, r2_test = 0.076975212, train_time = 15.182, used_time = 3695.752
step = 240, loss = 0.39052165, r2_train = 0.079744805, r2_test = 0.08119481, train_time = 17.192, used_time = 3781.866
step = 245, loss = 0.3891861, r2_train = 0.090291399, r2_test = 0.090240109, train_time = 15.255, used_time = 3858.328
step = 250, loss = 0.38392065, r2_train = 0.076423846, r2_test = 0.077285162, train_time = 16.043, used_time = 3938.701
step = 255, loss = 0.38176216, r2_train = 0.084552192, r2_test = 0.085086531, train_time = 15.164, used_time = 4014.709
step = 260, loss = 0.3781733, r2_train = 0.085836757, r2_test = 0.086671043, train_time = 14.570, used_time = 4087.708
step = 265, loss = 0.36638272, r2_train = 0.071248531, r2_test = 0.071815916, train_time = 15.874, used_time = 4167.268
step = 270, loss = 0.36586547, r2_train = 0.067785703, r2_test = 0.068571312, train_time = 14.728, used_time = 4241.065
step = 275, loss = 0.36045664, r2_train = 0.061985069, r2_test = 0.062531595, train_time = 15.656, used_time = 4319.536
step = 280, loss = 0.35859321, r2_train = 0.068790538, r2_test = 0.069256998, train_time = 17.133, used_time = 4405.352
step = 285, loss = 0.34874158, r2_train = 0.084952684, r2_test = 0.085963588, train_time = 16.728, used_time = 4489.180
step = 290, loss = 0.35097582, r2_train = 0.063225972, r2_test = 0.06402729, train_time = 15.535, used_time = 4567.016
step = 295, loss = 0.35148746, r2_train = 0.071348972, r2_test = 0.072316861, train_time = 16.389, used_time = 4649.144
step = 300, loss = 0.34003757, r2_train = 0.069042164, r2_test = 0.070089676, train_time = 16.487, used_time = 4731.732
step = 305, loss = 0.34102191, r2_train = 0.073323722, r2_test = 0.073793587, train_time = 16.146, used_time = 4812.650
step = 310, loss = 0.33646001, r2_train = 0.065241996, r2_test = 0.065759717, train_time = 14.929, used_time = 4887.453
step = 315, loss = 0.32648714, r2_train = 0.066682208, r2_test = 0.067266318, train_time = 14.672, used_time = 4960.995
step = 320, loss = 0.33250924, r2_train = 0.07662251, r2_test = 0.077654542, train_time = 15.481, used_time = 5038.554
step = 325, loss = 0.32730683, r2_train = 0.07530414, r2_test = 0.075673743, train_time = 14.718, used_time = 5112.335
step = 330, loss = 0.32241588, r2_train = 0.06384057, r2_test = 0.064758105, train_time = 15.835, used_time = 5191.663
step = 335, loss = 0.32281787, r2_train = 0.066855767, r2_test = 0.067300293, train_time = 15.129, used_time = 5267.490
step = 340, loss = 0.31850023, r2_train = 0.06347106, r2_test = 0.063908424, train_time = 15.958, used_time = 5347.439
step = 345, loss = 0.31316376, r2_train = 0.066395939, r2_test = 0.066550015, train_time = 14.598, used_time = 5420.607
step = 350, loss = 0.30585928, r2_train = 0.066656975, r2_test = 0.067918941, train_time = 16.054, used_time = 5501.037
step = 355, loss = 0.31301662, r2_train = 0.060734837, r2_test = 0.060844014, train_time = 15.034, used_time = 5576.396
step = 360, loss = 0.30354271, r2_train = 0.058855602, r2_test = 0.059696098, train_time = 14.633, used_time = 5649.713
step = 365, loss = 0.30351104, r2_train = 0.060391228, r2_test = 0.061225449, train_time = 15.632, used_time = 5728.056
step = 370, loss = 0.30653964, r2_train = 0.053166289, r2_test = 0.053947356, train_time = 18.208, used_time = 5819.256
step = 375, loss = 0.29776035, r2_train = 0.052629482, r2_test = 0.053690112, train_time = 15.206, used_time = 5895.475
step = 380, loss = 0.29920184, r2_train = 0.050108984, r2_test = 0.051042478, train_time = 16.082, used_time = 5976.043
step = 385, loss = 0.29520485, r2_train = 0.051874076, r2_test = 0.053191643, train_time = 14.830, used_time = 6050.382
step = 390, loss = 0.29466963, r2_train = 0.054646363, r2_test = 0.055542914, train_time = 14.989, used_time = 6125.483
step = 395, loss = 0.29416672, r2_train = 0.051724908, r2_test = 0.053036908, train_time = 15.808, used_time = 6204.707
step = 400, loss = 0.28461502, r2_train = 0.059238153, r2_test = 0.060193112, train_time = 16.358, used_time = 6286.657
step = 405, loss = 0.28571251, r2_train = 0.053901247, r2_test = 0.055047209, train_time = 15.468, used_time = 6364.187
step = 410, loss = 0.28321073, r2_train = 0.061651077, r2_test = 0.062847631, train_time = 15.226, used_time = 6440.469
step = 415, loss = 0.28368542, r2_train = 0.051345, r2_test = 0.052212478, train_time = 14.923, used_time = 6515.275
step = 420, loss = 0.28080246, r2_train = 0.049523421, r2_test = 0.05084771, train_time = 17.284, used_time = 6601.856
step = 425, loss = 0.28997359, r2_train = 0.050881044, r2_test = 0.051485464, train_time = 17.640, used_time = 6690.247
step = 430, loss = 0.28048647, r2_train = 0.048576037, r2_test = 0.049853931, train_time = 14.448, used_time = 6762.646
step = 435, loss = 0.2854618, r2_train = 0.054436899, r2_test = 0.055490318, train_time = 16.361, used_time = 6844.640
step = 440, loss = 0.27887585, r2_train = 0.05583388, r2_test = 0.056372905, train_time = 16.374, used_time = 6926.670
step = 445, loss = 0.27440269, r2_train = 0.064627922, r2_test = 0.065554544, train_time = 16.158, used_time = 7007.646
step = 450, loss = 0.27575538, r2_train = 0.046703662, r2_test = 0.047208956, train_time = 17.521, used_time = 7095.406
step = 455, loss = 0.27343284, r2_train = 0.05582352, r2_test = 0.057061506, train_time = 17.404, used_time = 7182.613
step = 460, loss = 0.27068794, r2_train = 0.055704091, r2_test = 0.056851809, train_time = 14.203, used_time = 7253.783
step = 465, loss = 0.26784603, r2_train = 0.048349544, r2_test = 0.049740335, train_time = 15.776, used_time = 7332.849
step = 470, loss = 0.26845849, r2_train = 0.045535988, r2_test = 0.047169255, train_time = 14.874, used_time = 7407.373
step = 475, loss = 0.26576758, r2_train = 0.051788573, r2_test = 0.052613418, train_time = 15.989, used_time = 7487.507
step = 480, loss = 0.26144053, r2_train = 0.049584346, r2_test = 0.050659653, train_time = 15.764, used_time = 7566.480
step = 485, loss = 0.25984079, r2_train = 0.049039253, r2_test = 0.049871328, train_time = 15.982, used_time = 7646.575
step = 490, loss = 0.26485888, r2_train = 0.049948025, r2_test = 0.051585728, train_time = 15.527, used_time = 7724.367
step = 495, loss = 0.26532595, r2_train = 0.051707327, r2_test = 0.052964276, train_time = 16.713, used_time = 7808.117
step = 500, loss = 0.26233223, r2_train = 0.044327338, r2_test = 0.045747369, train_time = 15.410, used_time = 7885.325
step = 505, loss = 0.25474442, r2_train = 0.046904379, r2_test = 0.047571817, train_time = 15.576, used_time = 7963.388
step = 510, loss = 0.25757128, r2_train = 0.047679006, r2_test = 0.048378964, train_time = 14.512, used_time = 8036.099
step = 515, loss = 0.25338779, r2_train = 0.045270691, r2_test = 0.045986631, train_time = 16.324, used_time = 8117.908
step = 520, loss = 0.25143569, r2_train = 0.051259165, r2_test = 0.052142997, train_time = 15.275, used_time = 8194.442
step = 525, loss = 0.25772042, r2_train = 0.044732955, r2_test = 0.045331352, train_time = 15.791, used_time = 8273.577
step = 530, loss = 0.26408253, r2_train = 0.041367239, r2_test = 0.042568578, train_time = 15.347, used_time = 8350.461
step = 535, loss = 0.25716874, r2_train = 0.042986102, r2_test = 0.04394219, train_time = 15.649, used_time = 8428.897
step = 540, loss = 0.24662778, r2_train = 0.040384045, r2_test = 0.041756947, train_time = 15.438, used_time = 8506.245
step = 545, loss = 0.25015489, r2_train = 0.046441285, r2_test = 0.047240513, train_time = 15.258, used_time = 8582.720
step = 550, loss = 0.24849195, r2_train = 0.050648684, r2_test = 0.051277968, train_time = 14.508, used_time = 8655.415
step = 555, loss = 0.25556173, r2_train = 0.042728631, r2_test = 0.043757663, train_time = 15.150, used_time = 8731.352
step = 560, loss = 0.25390404, r2_train = 0.0471487, r2_test = 0.048579639, train_time = 14.768, used_time = 8805.344
step = 565, loss = 0.24382151, r2_train = 0.039185371, r2_test = 0.040049195, train_time = 16.363, used_time = 8887.344
step = 570, loss = 0.24430346, r2_train = 0.044096014, r2_test = 0.045865614, train_time = 15.715, used_time = 8966.073
step = 575, loss = 0.24669832, r2_train = 0.043552325, r2_test = 0.044682016, train_time = 15.643, used_time = 9044.471
step = 580, loss = 0.24840979, r2_train = 0.041076239, r2_test = 0.041579471, train_time = 15.303, used_time = 9121.142
step = 585, loss = 0.24678819, r2_train = 0.038949525, r2_test = 0.039854978, train_time = 16.041, used_time = 9201.533
step = 590, loss = 0.2466066, r2_train = 0.041583065, r2_test = 0.042098689, train_time = 14.710, used_time = 9275.241
step = 595, loss = 0.24548727, r2_train = 0.050482131, r2_test = 0.051641034, train_time = 15.986, used_time = 9355.358
step = 600, loss = 0.24630917, r2_train = 0.039907527, r2_test = 0.040985388, train_time = 16.660, used_time = 9438.818
step = 605, loss = 0.23800403, r2_train = 0.038566759, r2_test = 0.039431336, train_time = 14.984, used_time = 9513.920
step = 610, loss = 0.24724667, r2_train = 0.038478831, r2_test = 0.039431955, train_time = 16.381, used_time = 9595.977
step = 615, loss = 0.23308782, r2_train = 0.03961288, r2_test = 0.040066849, train_time = 17.537, used_time = 9683.850
step = 620, loss = 0.23728204, r2_train = 0.04037222, r2_test = 0.041821626, train_time = 15.054, used_time = 9759.274
step = 625, loss = 0.23594669, r2_train = 0.040448318, r2_test = 0.041297852, train_time = 15.476, used_time = 9836.838
step = 630, loss = 0.24277772, r2_train = 0.036581719, r2_test = 0.036700989, train_time = 15.488, used_time = 9914.438
step = 635, loss = 0.23713755, r2_train = 0.047619392, r2_test = 0.04884013, train_time = 14.857, used_time = 9988.902
step = 640, loss = 0.23977621, r2_train = 0.050376409, r2_test = 0.050844186, train_time = 15.173, used_time = 10064.921
step = 645, loss = 0.23877983, r2_train = 0.037705273, r2_test = 0.03843001, train_time = 14.099, used_time = 10135.598
step = 650, loss = 0.24693672, r2_train = 0.042126847, r2_test = 0.042647121, train_time = 16.604, used_time = 10218.778
step = 655, loss = 0.23511256, r2_train = 0.043691941, r2_test = 0.044428233, train_time = 15.207, used_time = 10294.997
step = 660, loss = 0.23436593, r2_train = 0.037383523, r2_test = 0.038282487, train_time = 14.874, used_time = 10369.526
step = 665, loss = 0.23308086, r2_train = 0.037608613, r2_test = 0.0388723, train_time = 15.546, used_time = 10447.439
step = 670, loss = 0.23245929, r2_train = 0.039334941, r2_test = 0.040130713, train_time = 14.231, used_time = 10518.753
step = 675, loss = 0.2329424, r2_train = 0.040445278, r2_test = 0.041309669, train_time = 16.646, used_time = 10602.167
step = 680, loss = 0.23072532, r2_train = 0.041525602, r2_test = 0.042136569, train_time = 15.601, used_time = 10680.334
step = 685, loss = 0.23051605, r2_train = 0.04250553, r2_test = 0.043102987, train_time = 15.841, used_time = 10759.728
step = 690, loss = 0.23231678, r2_train = 0.034529603, r2_test = 0.035524199, train_time = 15.374, used_time = 10836.759
step = 695, loss = 0.22997161, r2_train = 0.04262802, r2_test = 0.043442864, train_time = 16.346, used_time = 10918.674
step = 700, loss = 0.22817735, r2_train = 0.038978116, r2_test = 0.040163891, train_time = 14.723, used_time = 10992.441
step = 705, loss = 0.23127424, r2_train = 0.050401604, r2_test = 0.051383729, train_time = 15.747, used_time = 11071.366
step = 710, loss = 0.23197077, r2_train = 0.03774677, r2_test = 0.038222313, train_time = 16.046, used_time = 11151.757
step = 715, loss = 0.22598234, r2_train = 0.035566934, r2_test = 0.036323031, train_time = 15.783, used_time = 11230.861
step = 720, loss = 0.22912357, r2_train = 0.035325123, r2_test = 0.035799717, train_time = 16.062, used_time = 11311.324
step = 725, loss = 0.223644, r2_train = 0.03898971, r2_test = 0.039495, train_time = 16.609, used_time = 11394.554
step = 730, loss = 0.23065146, r2_train = 0.040456745, r2_test = 0.042147737, train_time = 15.050, used_time = 11469.963
step = 735, loss = 0.23012304, r2_train = 0.042461577, r2_test = 0.043779775, train_time = 14.965, used_time = 11544.977
step = 740, loss = 0.23110909, r2_train = 0.04065967, r2_test = 0.042071306, train_time = 14.820, used_time = 11619.235
step = 745, loss = 0.22722666, r2_train = 0.040436913, r2_test = 0.041497927, train_time = 15.557, used_time = 11697.201
step = 750, loss = 0.22950071, r2_train = 0.042283943, r2_test = 0.043491658, train_time = 15.833, used_time = 11776.520
step = 755, loss = 0.22376348, r2_train = 0.036882247, r2_test = 0.037552832, train_time = 14.942, used_time = 11851.415
step = 760, loss = 0.2234614, r2_train = 0.042112612, r2_test = 0.042621534, train_time = 16.302, used_time = 11933.086
step = 765, loss = 0.22240165, r2_train = 0.03952481, r2_test = 0.039747838, train_time = 15.866, used_time = 12012.606
step = 770, loss = 0.22586711, r2_train = 0.044966166, r2_test = 0.045964533, train_time = 16.597, used_time = 12095.745
step = 775, loss = 0.22478974, r2_train = 0.042898329, r2_test = 0.044420971, train_time = 15.643, used_time = 12174.138
step = 780, loss = 0.22279866, r2_train = 0.03681211, r2_test = 0.037724491, train_time = 15.769, used_time = 12253.140
step = 785, loss = 0.21896699, r2_train = 0.037494152, r2_test = 0.037483966, train_time = 17.051, used_time = 12338.574
step = 790, loss = 0.22149018, r2_train = 0.045490818, r2_test = 0.046718583, train_time = 17.652, used_time = 12426.986
step = 795, loss = 0.2285822, r2_train = 0.044607903, r2_test = 0.044895593, train_time = 15.074, used_time = 12502.542
step = 800, loss = 0.22321743, r2_train = 0.048817758, r2_test = 0.04989332, train_time = 15.387, used_time = 12579.638
step = 805, loss = 0.22110714, r2_train = 0.044146119, r2_test = 0.04476651, train_time = 15.678, used_time = 12658.213
step = 810, loss = 0.2243195, r2_train = 0.051378764, r2_test = 0.052141195, train_time = 14.699, used_time = 12731.868
step = 815, loss = 0.22129977, r2_train = 0.043023112, r2_test = 0.043269131, train_time = 16.098, used_time = 12812.542
step = 820, loss = 0.22072814, r2_train = 0.052158408, r2_test = 0.053284075, train_time = 16.410, used_time = 12894.744
step = 825, loss = 0.22368656, r2_train = 0.03723596, r2_test = 0.038334939, train_time = 16.526, used_time = 12977.562
step = 830, loss = 0.22071285, r2_train = 0.040013592, r2_test = 0.040261237, train_time = 15.794, used_time = 13056.684
step = 835, loss = 0.21547969, r2_train = 0.038797816, r2_test = 0.039655855, train_time = 17.276, used_time = 13143.262
step = 840, loss = 0.22150787, r2_train = 0.035553506, r2_test = 0.036935272, train_time = 14.345, used_time = 13215.146
step = 845, loss = 0.21451947, r2_train = 0.038782069, r2_test = 0.039632268, train_time = 15.306, used_time = 13291.865
step = 850, loss = 0.21696647, r2_train = 0.053968242, r2_test = 0.054156768, train_time = 16.012, used_time = 13372.082
step = 855, loss = 0.21831754, r2_train = 0.03639043, r2_test = 0.036802237, train_time = 14.833, used_time = 13446.437
step = 860, loss = 0.21918, r2_train = 0.033823347, r2_test = 0.034495623, train_time = 14.534, used_time = 13519.257
step = 865, loss = 0.21760177, r2_train = 0.038671669, r2_test = 0.039264023, train_time = 17.068, used_time = 13604.783
step = 870, loss = 0.22033667, r2_train = 0.032577996, r2_test = 0.033516399, train_time = 14.000, used_time = 13674.941
step = 875, loss = 0.2214854, r2_train = 0.035690777, r2_test = 0.036712004, train_time = 15.892, used_time = 13754.591
