batch_size = 300
bias = True
clear_checkpoint = True
clip_grad = 0
cuda = -1
device = cpu
dtype = float64
lr = 0.0005
max_step = 1000
n_in = 68
n_out = 1
net_depth = 9
net_width = (100, 200, 200, 100, 100, 50, 20)
no_stdout = False
optimizer = adam
out_dir = out
out_filename = out/MLP_nd9_nw-100-200-200-100-100-50-20_bias/out
out_infix = 
print_step = 5
save_step = 10
seed = 42806937
tolerance = 1e-05

init_time = 0.000
Training...
step = 0, loss = 1.4079464, r2_train = 0.16265269, r2_test = 0.16182478, train_time = 33.693, used_time = 39.281
step = 5, loss = 0.73338747, r2_train = 0.13330353, r2_test = 0.1326419, train_time = 24.770, used_time = 168.619
step = 10, loss = 0.59462406, r2_train = 0.11856363, r2_test = 0.11782808, train_time = 24.512, used_time = 296.618
step = 15, loss = 0.51915398, r2_train = 0.11770471, r2_test = 0.11726934, train_time = 24.608, used_time = 425.353
step = 20, loss = 0.46343813, r2_train = 0.099269362, r2_test = 0.099236107, train_time = 24.776, used_time = 554.761
step = 25, loss = 0.425493, r2_train = 0.086707787, r2_test = 0.086243106, train_time = 25.128, used_time = 685.847
step = 30, loss = 0.3875495, r2_train = 0.081723549, r2_test = 0.081650124, train_time = 24.288, used_time = 812.639
step = 35, loss = 0.35781317, r2_train = 0.12222838, r2_test = 0.12103666, train_time = 24.304, used_time = 939.591
step = 40, loss = 0.33680287, r2_train = 0.079839457, r2_test = 0.079781237, train_time = 23.991, used_time = 1064.811
step = 45, loss = 0.31628356, r2_train = 0.06883713, r2_test = 0.069713774, train_time = 23.971, used_time = 1190.161
step = 50, loss = 0.30081261, r2_train = 0.061955164, r2_test = 0.062626969, train_time = 24.143, used_time = 1316.166
step = 55, loss = 0.27705875, r2_train = 0.070516092, r2_test = 0.071892629, train_time = 24.247, used_time = 1442.826
step = 60, loss = 0.26826758, r2_train = 0.047880388, r2_test = 0.050036301, train_time = 24.157, used_time = 1569.071
step = 65, loss = 0.25805736, r2_train = 0.046431824, r2_test = 0.048535663, train_time = 24.177, used_time = 1695.310
step = 70, loss = 0.2499526, r2_train = 0.051553627, r2_test = 0.053119703, train_time = 24.275, used_time = 1822.046
step = 75, loss = 0.23429068, r2_train = 0.041404057, r2_test = 0.042780728, train_time = 24.033, used_time = 1947.610
step = 80, loss = 0.2250253, r2_train = 0.039394876, r2_test = 0.041185365, train_time = 24.139, used_time = 2073.669
step = 85, loss = 0.22094646, r2_train = 0.035508839, r2_test = 0.037196368, train_time = 24.062, used_time = 2199.316
step = 90, loss = 0.21283778, r2_train = 0.04190544, r2_test = 0.042891406, train_time = 24.173, used_time = 2325.502
step = 95, loss = 0.20522576, r2_train = 0.037250385, r2_test = 0.038932353, train_time = 24.018, used_time = 2451.009
step = 100, loss = 0.20462378, r2_train = 0.042664082, r2_test = 0.043293581, train_time = 24.083, used_time = 2576.920
step = 105, loss = 0.19488417, r2_train = 0.03437527, r2_test = 0.036000698, train_time = 23.859, used_time = 2701.524
step = 110, loss = 0.19383212, r2_train = 0.033893604, r2_test = 0.035301688, train_time = 24.174, used_time = 2827.829
step = 115, loss = 0.19011108, r2_train = 0.032827914, r2_test = 0.034194763, train_time = 24.298, used_time = 2954.686
step = 120, loss = 0.18590579, r2_train = 0.031870674, r2_test = 0.033085035, train_time = 24.149, used_time = 3080.764
step = 125, loss = 0.17789425, r2_train = 0.033685684, r2_test = 0.035321795, train_time = 24.318, used_time = 3207.749
step = 130, loss = 0.17842743, r2_train = 0.028900737, r2_test = 0.03091189, train_time = 24.199, used_time = 3334.087
step = 135, loss = 0.17562509, r2_train = 0.029510973, r2_test = 0.031369859, train_time = 24.255, used_time = 3460.726
step = 140, loss = 0.17458332, r2_train = 0.028174815, r2_test = 0.030224886, train_time = 24.141, used_time = 3586.770
step = 145, loss = 0.16848909, r2_train = 0.028427699, r2_test = 0.030890152, train_time = 24.261, used_time = 3713.571
step = 150, loss = 0.16914384, r2_train = 0.028592416, r2_test = 0.030404308, train_time = 24.218, used_time = 3840.063
step = 155, loss = 0.1650596, r2_train = 0.026453267, r2_test = 0.028611166, train_time = 24.103, used_time = 3965.971
step = 160, loss = 0.16311475, r2_train = 0.027092637, r2_test = 0.028637434, train_time = 24.077, used_time = 4091.736
step = 165, loss = 0.16166971, r2_train = 0.025666108, r2_test = 0.027958431, train_time = 24.183, used_time = 4218.043
step = 170, loss = 0.16018325, r2_train = 0.028055959, r2_test = 0.0304785, train_time = 24.120, used_time = 4344.021
step = 175, loss = 0.15894846, r2_train = 0.023623754, r2_test = 0.025980179, train_time = 24.120, used_time = 4470.130
step = 180, loss = 0.1564803, r2_train = 0.027197835, r2_test = 0.029827472, train_time = 24.245, used_time = 4596.768
step = 185, loss = 0.15727323, r2_train = 0.025457396, r2_test = 0.027748574, train_time = 24.156, used_time = 4722.993
step = 190, loss = 0.15344047, r2_train = 0.02512636, r2_test = 0.027220834, train_time = 24.229, used_time = 4849.467
step = 195, loss = 0.15259394, r2_train = 0.029527343, r2_test = 0.030796629, train_time = 24.171, used_time = 4975.804
step = 200, loss = 0.15283326, r2_train = 0.022529953, r2_test = 0.024498788, train_time = 24.319, used_time = 5102.756
step = 205, loss = 0.15303031, r2_train = 0.023015171, r2_test = 0.025246119, train_time = 24.235, used_time = 5229.525
step = 210, loss = 0.15277701, r2_train = 0.024504019, r2_test = 0.025819, train_time = 24.219, used_time = 5355.983
step = 215, loss = 0.14949886, r2_train = 0.020922497, r2_test = 0.02245401, train_time = 24.170, used_time = 5482.286
step = 220, loss = 0.15015841, r2_train = 0.032211471, r2_test = 0.03294581, train_time = 24.163, used_time = 5608.538
step = 225, loss = 0.14848632, r2_train = 0.029854854, r2_test = 0.031171488, train_time = 24.157, used_time = 5734.624
step = 230, loss = 0.14733262, r2_train = 0.022420895, r2_test = 0.024207234, train_time = 24.057, used_time = 5860.272
step = 235, loss = 0.14776826, r2_train = 0.023492126, r2_test = 0.02490627, train_time = 24.027, used_time = 5985.835
step = 240, loss = 0.14642537, r2_train = 0.029097948, r2_test = 0.03006692, train_time = 24.057, used_time = 6111.501
step = 245, loss = 0.14513914, r2_train = 0.027475471, r2_test = 0.027989468, train_time = 24.159, used_time = 6237.766
step = 250, loss = 0.1419779, r2_train = 0.024183183, r2_test = 0.026219067, train_time = 24.112, used_time = 6363.670
step = 255, loss = 0.14725342, r2_train = 0.026757569, r2_test = 0.027736043, train_time = 24.123, used_time = 6489.738
step = 260, loss = 0.14556652, r2_train = 0.022132846, r2_test = 0.024020288, train_time = 24.133, used_time = 6615.756
step = 265, loss = 0.14217309, r2_train = 0.035463737, r2_test = 0.035427746, train_time = 24.116, used_time = 6741.810
step = 270, loss = 0.14121798, r2_train = 0.030570137, r2_test = 0.030724989, train_time = 24.114, used_time = 6867.777
step = 275, loss = 0.14283849, r2_train = 0.032726593, r2_test = 0.0336171, train_time = 24.176, used_time = 6994.072
step = 280, loss = 0.14190378, r2_train = 0.024734876, r2_test = 0.026206158, train_time = 24.174, used_time = 7120.310
step = 285, loss = 0.1420388, r2_train = 0.024163125, r2_test = 0.02605698, train_time = 24.169, used_time = 7246.600
step = 290, loss = 0.14039581, r2_train = 0.020620415, r2_test = 0.022315527, train_time = 24.077, used_time = 7372.396
step = 295, loss = 0.13835103, r2_train = 0.020632359, r2_test = 0.02159988, train_time = 24.143, used_time = 7498.458
step = 300, loss = 0.13940158, r2_train = 0.021821518, r2_test = 0.023604191, train_time = 24.121, used_time = 7624.320
step = 305, loss = 0.13805619, r2_train = 0.02593942, r2_test = 0.027894642, train_time = 24.212, used_time = 7750.771
step = 310, loss = 0.14156203, r2_train = 0.020795737, r2_test = 0.022728001, train_time = 24.150, used_time = 7876.885
